s1_id,other_id,other_source,s1_name,other_name,s1_address,other_address,s1_country,other_country,label
S1-737255108,S2-913519525,S2,Sanchez Software,"Martin, Sharma & Carroll LLC","225 Japhet Street, Houston, TX","273 COUTY ROAD 5126, CLEVELAND, TX",US,US,0
S1-104139780,S3-807336947,S3,RT Education LLC,Caloquo d/b/a Hawkins Lending Inc,"3657 Truxton Place, Avon, OH","51 Great Heron Drive, West Bath, ME",US,US,0
S1-599220101,S2-357989906,S2,"Lyris Vance, Inc",SCHOLARSHIP INIITVE,"9854 Hayfield Court, Loveland, OH","10103 FOWLER LN, ROCKINGHAM COUNTY, VA",US,US,0
S1-656007339,S2-671995328,S2,Super 97 Deli,West  Center L.L.C. Services,"689 5, Corunna, IN","130 VALLEY VIEW DRIVE, NEWPORT, KY",US,US,0
S1-270246921,S3-685405915,S3,American Peninsula (India) Private Limited,Fortune & Brothers Pvt Ltd.,"502, Shiv Pooja, Plot No. 99, Sector 29, Vashi, Navi Mumbai, Thane, Maharashtra","South Delhi, G-458a, DL",India,India,0
S1-833335903,S2-12775980,S2,Waggoner Direct Laboratories Inc,Le and Adams LLC,"410 School Street, Centerville, IN","31685 22, OR, HEBO",US,US,0
S1-25067815,S3-297231662,S3,Misty Duclos Superior Fifth,Urology Care Group,"61017 Day Acres Road, Town Of Gordon, WI","##46 Louisiana St, PO Box 6925, Long Beach, New York",US,US,0
S1-6062256,S3-110068792,S3,"Armstrong, Elisabetta, D.D.S.",Kristin Wilmore-LLC Wilmore-LLC Guaranty,"1975 Linwood Street, Unit 237, Salem, OR","1636 Birchwood Drive, West Fargo, North Dakota",US,US,0
S1-151837127,S3-805332174,S3,Sgd Fabtex Private Limited,HERCULES PUNE RESEARCH,"1805, Sky Flama, Dosti Flamingos, Mumbai, Mumbai City, Maharashtra","No 126, Shop No. S-2, Kunal Icon Shopping Center, Pimple Souda, Gar, Pune, MH",India,India,0
S1-407946432,S2-962090910,S2,Evey Services Private Limited,tirupati marketing private limited,"H No 16-2-752/68, Plot No G A 53 Sbh Colony, Gaddiannaram, Hyderabad, Telangana","##717, JANKI CENTRE PRE CHS LTD., SHAH INDUSTRIL EST., OFF V D ROAD, ANDHERI W, MUMBAI, NULL, Maharashtra",India,India,0
S1-786710534,S2-145146834,S2,Kb Seva Samiti,KB KB SEVA SAMITI CO,"Sec-137, Expressway, T10-0806, Paras Tierea, Chs, Noida, Gautam Buddha Nagar, Ch-01, Uttar Pradesh","CH-01, SEC-137, EXPRESSWAY, T10-0806, PARAS TIEREA, CHS, NOIDA, उत्तर प्रदेश",India,India,1
S1-280818643,S3-405850935,S3,Torgerson & Perry,Choice  Productions LLC,"445 Broadway, Unit Apartment 3B, Hastings-on-hudson, NY","548 Porter, La Porte, Indiana",US,US,0
S1-729514777,S3-413881511,S3,Lumon Republic Inc,Wexfaye d/b/a Ponce and Morabito Care,"1957 Brush Oak Court, Thousand Oaks, CA","31 Old Goat Lane, South Berwick, ME",US,US,0
S1-27747745,S2-81679815,S2,Laxmi Products Private Limited,लक्ष्मी प्रोडक्ट्स प्राइवेट लिमिटेड,"436 Arjun Nagar Gurgaon, Gurugram, Arjun Nagar, Gurgaon, Haryana","436 ARJUN NAGAR GURGAON, NULL, ARJUN NAGAR, GURGAON, Haryana",India,India,1
S1-440700062,S3-294088934,S3,A S Klein Surgical,Schulze All Inc Center,"2230 Alameda Street, Portland, OR","66-63 79 Place, Middle Village, New York",US,US,0
S1-357540238,S2-597881167,S2,1596 Madison Ave Apartments LLC,Didomenico United Alto Inc.,"118 Wayne Street, Arlington County, VA","AZ, TUCSON, 51870 ANTHONY DR",US,US,0
S1-136899210,S2-959318236,S2,Saradha Foundation,SARADHA FOCNDTION,"F No 405, Sriroz Paradise, Iv, Pimpri Chinchwad, Haveli, Pune, Maharashtra","F NO 0405, SRIROZ PARADISE, IV, PFMPRI CHINCHWAD, HAVELI, Maharashtra",India,India,1
S1-596818927,S2-472748971,S2,Precision Payroll Networks,Downtown Barbershop! West,"1835 Hartford Drive, Gastonia, NC","UTIICA CDP, OH, 516 Mill Street",US,US,0
S1-163592851,S2-634176243,S2,Regional Network Technologies Inc,CAMPOS-SOUTH,"3427 1769, Loving, TX","TURLEY RD, DESOTO, MO",US,US,0
S1-945865544,S3-372867529,S3,Ridyne Colonial Cannabis,Ear Nose & Throat Acsir Partners,"2021 Baythorne Road, Prince Frederick, MD","Salem, Wisconsin, 008550 234th Avenue",US,US,0
S1-172125464,S2-364653307,S2,Pediatric Dental Physicians Corp,"Pena, Sarris and Litzinger  Proem","1312 Raintree Road, West Tawakoni, TX","TX, DALLAS, 1319 CLAUDE ST",US,US,0
S1-96061934,S2-300949831,S2,Pediatric Dental Center LLC,"Taylor, Florence K., DMD Co","NC, Sanford, 1811 Holiday Road","5603-5607 RUSTIC PEBBLE LANE, MADISON, WI",US,US,0
S1-624322933,S2-243780942,S2,Link Pacific Mitsui Inc,Regional Trust Corporation,"5002 Oriole Avenue, Chesterfield County, VA","EARLY BIRD DR, ARLINGTON, TX",US,US,0
S1-375305239,S2-667619293,S2,"Hail, Cannon and Thompson Associates",transcontinentalelectronicslabs.com,"214 Main Street, Cadiz, KY","00429 SCHLETER COURT, SEYMOUR, IN",US,US,0
S1-279688632,S3-845013402,S3,Namakkal District Stores Clinic,PI Education Private Ltd,"Jansons Chambers68/A Namakkal Road Tiruchengode, Namakkal District, Salem, Tamil Nadu","C/o Angrej Singh, Gola, Kheri, UP",India,India,0
S1-632611658,S3-166285579,S3,Compass Fund of Plainfield,C0mpass (Fund),"IL, 12157 Leona Drive, Plainfield","2157 Leona Dr, Plainfield, Illinois",US,US,1
S1-601390001,S3-306105560,S3,Gaia College,PN Interior Pvt. Ltd.,"Plot No 105/106, Hitech Defence & Aerospace Park Kiadb, Industrial Area, Kavadasanahalli, Bangalore, Bangalore Rural, Karnataka","101, Mumbai, Mumbai City, MH",India,India,0
S1-508845920,S3-698785261,S3,South & Welch Inc.,South Inc. Welch [&],"2862 2nd Street, Minneapolis, MN","2862. 2th St, Minneapolsi, Minnesota",US,US,1
S1-134024672,S3-446903365,S3,Keystone Crystal Newbridge Care,"All Tr-itnate Safe, Inc - 5303071310","3731 Redwood Falls Drive, Houston, TX","Bayshire Road, PMB 5172, Groveport, Ohio",US,US,0
S1-196675397,S2-72075631,S2,Gulf Learning Center,GULF LEARNING CENTER LP,"725 County Square Drive, Unit 27, Ventura, CA","00725 COUNTY SQUARE DRIVE, VENTURA, CA",US,US,1
S1-438169293,S2-758070676,S2,Cottam Preparatory Academy,EMERALD LLC SERVICES,"706 Kenney Street, Houma, LA","005 Pine St, MILLSTADT, IL",US,US,0
S1-598855612,S3-451532028,S3,Sinner Institute of Technology,Walters & Rosenberg LLC,"2537 Fairground Road, Victoria, KS","1941-1943 Ironwood Drive, Santa Maria, California",US,US,0
S1-991094822,S2-690742130,S2,"Guidi, Edwards and Olson PC",Global Cdt,"405 Oakwood Drive, Rose Hill, KS","KY, null, 10 JEFFERSON ST, STURGIS",US,US,0
S1-120260925,S2-501190913,S2,Shah Consulting PLLC,Shah PLLC [Consulting],"400 Riverwood Bend, Village Of Deforest, WI","RIVERWOOD BEND, VILLAGE OF DEFOREST, WI",US,US,1
S1-820364219,S2-221647535,S2,Pioneer Wireless Laboratories,Apex Center,"Murfreesboro, TN, 511 Murfreesboro Street","126 GOLDEN MEADOW DR, BATAVIA, OH",US,US,0
S1-13872465,S3-635868779,S3,Nexyx Therapeutics Inc,Nexyx Nexyx Thérapeutics Inc,"OK, Claremore, 1240 Country Club Road","001240 Country Club Road, Claremore, Oklahoma",US,US,1
S1-610466435,S2-723468938,S2,Perfect Ventures Private Limited,Ahmedabad (agencies) Company,"Unit 101, Prime Avenue A Wing, 1St Floor 159 Swami Vivekanand Road, Mumbai, Maharashtra","A-45, RADHAKRISHNA, IND. ESTATE, B/H. HINDUSTAN MARBEL, ODHAV, AHMEDABAD, Gujarat",India,India,0
S1-129755253,S3-601146302,S3,Perfect Estate Private Limited,Private Vr Consulting Limited,"Rajasthan, Ramdwara Colony Near Water Tank, Sanganer, Jaipur, Plot No.50","Kh - 120, Block - A, Gali No - 5, Sarswati Kunj, Chipiyana Khurd, G.b Nagar, Ghaziabad, UP",India,India,0
S1-224250696,S2-93461237,S2,Sunrise Solutions Private Limited,डिजिटल तिरुपति इम्पेक्स प्रोविजन प्राइवेट लिमिटेड,"446, Floor-04, Kalyandas Udyog Bhavan, S.H. Tandel Marg, Near Century Bhavan, Prabhadevi, Mumbai, Maharashtra","DALAMAL TOWER, NARIMAN POINT, #861 1116, MUMBAI, महाराष्ट्र, MUMBAI CITY",India,India,0
S1-796077169,S3-570082564,S3,Hildagarde Jarman Cleaning Care,Hein & Ohara Corp,"545 Overbrook Drive, Atlanta, GA",,US,US,0
S1-80640719,S3-443785293,S3,Mangal Polytechnic Private Limited,Mangal Polytechnic [Private],"Flat No 004, Bldg No 40, Sector-1 Shanti Nagar, Mira Road (East), Thane, Maharashtra","No 004, Thane, MH",India,India,1
S1-465864648,S2-671419347,S2,Flaherty Universal,Metro Center,"1272 William Floyd Parkway, Brookhaven, NY","16850- EYLERS VALLEY RD, EMMITSBURG, MD",US,US,0
S1-916275658,S2-404141502,S2,Consultancy Asset Biopharma Private Limited,INDIA JASS CONSUMER PRIVATE [LIMITED],"Plot-3, Haryana, Village Atmadpur Near Sec, Faridabad","32/19, IIIRD FLOOR MAIN ROAD, EAST PATEL NAGAR, DELHI, Delhi",India,India,0
S1-364160149,S2-269569523,S2,Cozy Bakery,Red LLC Tavern,"27 Turnpike Road, Townsend, MA","31815 PHYLLIS PLACE, SAN TAN VALLEY, AZ",US,US,0
S1-498685849,S2-142923393,S2,Carter Breeze Clinic,Calinque Management  LLC,"134 Hi Vue Drive, Sartell, MN","803  OREGON STREET, KANNAPOLIS, NC",US,US,0
S1-571648131,S2-820119573,S2,Unicorn Trading Company,Unicorn Trading Cómpany,"Maharashtra, Mumbai, Mulund (W), Opp. Nirmal Nagar, Lbs Marg, Nirmal Lifestyle","BLOCK F-490 NIRMAL LIFESTYLE, OPP. NIRMAL NAGAR, LBS MARG, MULUND (W), NULL, महाराष्ट्र",India,India,1
S1-458327393,S2-664504152,S2,1837 Broadway Road Owners Corp Inc,"Joella F.  Sirianni, Esq. Corp","21212 Monroe Road, Spokane, WA","OXFFORD, 1486 TRENTON OXFORD RD, OH",US,US,0
S1-775398998,S2-386511878,S2,Ram Properties Private Limited,ಸ್ವಸ್ತಿಕ್ ಇಂಪೆಕ್ಸ್ ಲಿಮಿಟೆಡ್,"Saya Zenith Apartment, B-1204, Ahinsa Khand 2, Indirapuram, Near Cisf Camp, Ghaziabad, Uttar Pradesh","A RAMANNA STREET, SRIRANGAPATNA, MANDYA, Karnataka",India,India,0
S1-472979588,S2-290112796,S2,Witmer's Bakery Inc,Hutto Stillwell Irenic Inc Center,"9531 Niagara Drive, Fontana, CA","4620 36TH ST, ARLINGTON COUNTY, VA",US,US,0
S1-962224942,S2-476976141,S2,Thompson James LLC,Ibby's Íntegrated Service,"1036 Main Street, Taylor Township, PA","TERRELL, TX, 9933 2434",US,US,0
S1-51340978,S2-598043083,S2,HVE Capital Giant,DENTAL PARTNERS,"1863 Camp Creek Road, Camp Creek, WV","230 ORBITER DR, ROUND LAKE, IL",US,US,0
S1-393352845,S2-176976937,S2,Cobalt LLC,Cobalt LLC,"LA, 3600 Florida Street, Baton Rouge City","LA, 3600- FLORIDA STREET, BATON ROUGE CITY",US,US,1
S1-977298524,S3-151481164,S3,Straight Edge Deli,Fibrivue Companies,"9278 Bingham Park Drive, West Jordan City, UT","5199 Miller Street, Barberton, Ohio",US,US,0
S1-342947050,S2-463976163,S2,Modern Golden Power LLP,ಮಾಡರ್ನ್ ಗೋಲ್ಡನ್ ಪವರ್ ಎಲ್ಎಲ್‌ಪಿ,"207Defencecolonydblocksha, Karnagaryelahankabangalor, Bangalore North, Bangalore, Karnataka","207DEFENCECOLONYDBLOCKSHA, KARNAGARYELAHANKABANGALOR, BANGALORE, BANGALORE NORTH, Karnataka",India,India,1
S1-241707018,S2-659675481,S2,Little Tavern,LITTLE TAVETN,"109 Lost Tree Lane, High Point, NC","109 LOST TREE LN, HIGH POINT, NC",US,US,1
S1-901935220,S3-781394243,S3,Galaxy Investment Private Limited,Work  Urban Group,"31, First Floor 6Th Cross, 16Th Main, Btm Layout, 2Nd St, Age, Bangalore, Karnataka","Plot No. P-2, Behala Industrial Park, 620, Diamond Harbour Road, Kolkata, Kolkata, Behala, পশ্চিমবঙ্গ",India,India,0
S1-770879108,S2-78448960,S2,United Laxmi Ventures Private Limited,TARA PROPERTIES  PVT LTD.,"9 Kamaraj Road ., Bangalore, Karnataka","E-3/5, LGF MALVIYA NAGAR, NEW DGLHI, Delhi",India,India,0
S1-846637712,S2-156268656,S2,Dm Solutions Private Limited,First Food Pvt Limited,"4 Bhanot Apptslocal Shoping Centre Pushp Vihar, New Delhi, South Delhi, Delhi","SARVESHWARI NAGAR, BEHIND SURYA COMPLEX NAKA BY PASS, FAIZABAD, Uttar Pradesh",India,India,0
S1-352528539,S2-302365503,S2,Golden Creative Obic Corp,Perez Montessori School Corporation,"1317 Ginger Spice Lane, Pflugerville, TX",,US,US,0
S1-541521387,S2-221746866,S2,Sterling Choice Constellation,Constellation Chóice 5terling,"Unit UNIT 119, 9396 Purdue Avenue, AZ, Scottsdale","PURDUE AVENUE, SCOTTSDALE, AZ",US,US,1
S1-918146787,S3-852616546,S3,All Nidhi Pvt. Ltd.,Rajman Electric,"25 Das And Yadav Complex Panchwati Circle Raja Park, Jaipur, Rajasthan","C 2432 Sushant Lok 1, Gurgaon, HR",India,India,0
S1-283413762,S3-308579767,S3,Behavioral Health Medicine,Brown,"1891 Pinetops-crisp Road, Pinetops, NC","7203 12th Street, Unit 7203, Plainview, TX",US,US,0
S1-488741461,S2-38640828,S2,Internal Medicine Group,Preferred-Platinum Asscoifets,"4631 Pembrooke Place, Rockford, IL","32 ROBIN ST, BONO, AR",US,US,0
S1-574604257,S2-481265611,S2,3684 Church St Realty,Dunlap Fárms LLC,"5621 Rachel Court, Arlington, TX","1021 WATERLOO GENEVA RD, WATERLOO, NY",US,US,0
S1-454568078,S2-406102607,S2,"Nelly Seda, Ph.D.","Nelly Seda, Ph.D.","871 Russell Branch Road, Eminence, KY","RUSSELL BRANCH RD, EMINENCE, KY",US,US,1
S1-564861849,S3-495791442,S3,"Isa J. Sustaita, DPM, DDS PC",highland federation,"11707 Old Church Road, Roanoke, IN","599 County Road 4675, Atlanta, Texas",US,US,0
S1-155259070,S2-400086191,S2,Miller Perfect LLC,Miller Perfect,"880 Wire Road, Bunnlevel, NC",,US,US,1
S1-794890429,S2-121351604,S2,Samriddh Hub (India) Private Limited,UNITED  INVESTMENT,"Plot No 471, 5Th Floor, Street No 10, Kakatiya Hills, Shaikpet, Hyderabad, Telangana","NO 59 C/O MUNNI DEVI R/O VILLAGE MUDIA, AHMAD NAGAR, BAREILLY, Uttar Pradesh",India,India,0
S1-559647417,S3-813927333,S3,Krishna Consulting Private Limited,Krishna Consulting Private Ltd [Ltd],"E-1/13B, Arera Colony, Huzur, Bhopal, Madhya Pradesh","E-1/13b, Huzur, Bhopal, MP",India,India,1
S1-290423290,S2-715865705,S2,NHD Iyer Private Limited,Kairos Procon Exports Private Limited,"Delhi, Group Industrial Area Wazir Pur, New Delhi, B-45","72 M/S UNIQUE FOAM INDUSTRIES, SHRI VAIBHAV NANDKUMAR, PLOT NO.G-111/1, MIDC, BARAMATI, PUNE, Maharashtra",India,India,0
S1-848869662,S3-831129210,S3,Mhs Siva Private Limited,alpha city technology private limited | www.alphacity.com,"Central Delhi, Delhi, R K Chambers First Floortilak Bazar Khari Baoli, Delhi","Dsm-338 Dlf Tower Moti Nagar Shivaji Marg, New Delhi, West Delhi, दिल्ली",India,India,0
S1-333272554,S2-644948188,S2,Soni Advisors Partners,न्यू इम्पेक्स एलएलपी,"Cherry Hills, M/S Golf Link Software Park, Udhay Vj Reality Pvt Ltd, 8/2A, 8/2B & 9, Challaghatta Village, Bangalore North, Bangalore, Karnataka","NEW DELHI, C-88, Delhi, SHARDA PURIRING ROAD",India,India,0
S1-872887733,S3-163315537,S3,Internal Medicine Partners Co,"Daditech,","400 Richmond Street, Unit Apartment 111, City Of Appleton, WI","North Carolina, # 101, Cary, 2113 Marilyn Cir",US,US,0
S1-524116606,S2-607368643,S2,Meyer Peoples,Scrivens All Vehicle Corp,"1779 Crosby Lane, Redding, CA","TX, 04407 2230, CADDO MILLS",US,US,0
S1-874040318,S3-838500197,S3,Ace Infra Private Limited,Star  Engineering Private Limited,"2Nd Floor, Uttar Pradesh, Ratan Shopping Complex Dhram Market, Atta Market, Sector - 27, Gautam Buddha Nagar, Noida",,India,India,0
S1-971095706,S3-877335473,S3,Durga Consulting Private Limited,Himalaya Charitable Trust Company,"H No. 922, Roadpali Nawada Sector, Pnl-I, Roadpali, Panvel, Raigarh(Mh), Maharashtra","Flat No S-3-3, North P O, Thattampady N H Sventeen, കേരളം",India,India,0
S1-462919744,S2-206269631,S2,Interstate Supreme Vornado LLC,Schwartz Innovative Bitwise LP,"3666 Silsby Road, University Heights, OH","628C FEDERAL ROAD, LIVERMORE, ME",US,US,0
S1-948023312,S3-732611497,S3,Colonial Frontier Fortress LLC,Beacon Printing,"1130 42, Mooresville, IN","##7615 Fontainebleau Dr, PMB 8237, Hyattsville, Maryland",US,US,0
S1-126080083,S2-922080426,S2,"Advanced Green Twelve, LLC","City Of Fennimore, Vgrilame Of","1224 Aster Drive, Shelbyville, IN","320D LINCOLN AVENUE, CITY OF FENNIMORE, WI",US,US,0
S1-831630362,S2-26963592,S2,Aneja Products Private Limited,Agl Trans Private,"Sn-12, Fl-E-31, Prathamesh, Nagari, Wadgaon Bk, Pune City, Pune, Maharashtra","HN #778 C/O ANURADHA BHARTI, 00, POST JOYA, MUBARAKPUR, AMROHA, Uttar Pradesh",India,India,0
S1-42249692,S2-970241382,S2,"Matthews Fund, Inc","MATTHEWS FUND, INC","1029 Marlau Drive, Baltimore, MD","1029B MARLAU DRIVE, BALTIMORE, MD",US,US,1
S1-424060575,S2-438333845,S2,Services Silicon Industries Limited,Shreenathji Industries (India)Private Limited,"Haryana, Sonipat, 1St Floor, Housing Board Colony Sector 15, 1675, Sonepat","NO 11-58  , NEAR OLD TELEPHONE EXCHAN, HUZURABAD, Telangana",India,India,0
S1-83160183,S2-10001858,S2,Shiva Constructions Private Limited,UZV SOLUTION LTD,"Uyhalli, Karnataka, Bangalore, Shop No-17/2 D.K. Sandra Village","H.NO 78 BIG SPLASH, OFFICE 201, PLOT 78/79, SECTOR 17, VASHI, NAVI MUMBAI, THANE, <NULL>, महाराष्ट्र",India,India,0
S1-364388711,S2-116870976,S2,UP Cold Private Limited,SHRIKAR & SONS PVT LÍMITED,"Telangana, Hyd Road, Nalgonda, D. No. 6 6 427/1","618, 6TH FLOOR, CORPORATE CENTRE NIRMAL LIFESTYLE, L. B. S. MARG, MULUND, (WEST), महाराष्ट्र",India,India,0
S1-987693379,S3-894193126,S3,Xia Industries Clinic,Interstate 8reeze LLC,"W10864 Bennett Road, Town Of Athelstane, WI","5- Wimbledon Dr, NULL, North Hills, New York",US,US,0
S1-437127913,S3-38608827,S3,Martinez Family Practice,capital fellowship,"9122 Hennepin Avenue, Niagara Falls, NY","2659 Marilee Ln, Houston, Texas",US,US,0
S1-763615412,S2-778533017,S2,"Rodriguez, Shaffer & Strickland Meridian L.L.C.",Ariakelo,"Arlington, 2010 Park Row Drive, TX","CT, 43 PROSPECT STREET, WALLINGFORD CENTER",US,US,0
S1-443812445,S3-501780231,S3,Superior Ampercap,Pedirtris Corp,"602 Honeygold Court, La Crescent, MN","3216 Balada Way, California, Ranho Cordova",US,US,0
S1-952568466,S2-381230872,S2,Sea Consultancy Ltd,seaconsultancy.com,"3, Marshall Apartment, 97, August Kranti Marg, Kemps Corner, Mumbai, Mumbai City, Maharashtra","003, MARSHALL APARTMENT, 97, AUGUST KRANTI MARG, KEMPS CORNER, MUMBAI, Maharashtra",India,India,1
S1-367891319,S2-970354929,S2,Complete Marine Digital Inc,Comp1ete  Marine Digital Inc.,"3101 43rd Avenue, Anchorage, AK","3101-3105 43RD AVE, ANCHORAGE, AK",US,US,1
S1-141335508,S2-139237061,S2,Tri-State Center,XW Royal Skin Care Co,"9 Kayce Drive, Candler, NC","800 BULFINCH DR, ANDOVER, MA",US,US,0
S1-960985965,S2-987902833,S2,East Services Pvt Ltd,ஈஸ்ட் சர்வீசஸ் பிரைவேட் லிமிடெட்,"No.87A, 8Th Street, Shree Kumaran Nagar, Poonamallee, Tiruvallur, Tamil Nadu","NO.85A, 8TH STREET, SHREE KUMARAN NAGAR, TIRUVALLUR, POONAMALLEE, Tamil Nadu",India,India,1
S1-867308887,S2-353487693,S2,Buck Family Office Co,CHIROPRACTIC-PARTNERS,"1804 Aspen Pines Drive, Wilder, KY","JAMES CITY COUNTY, 224 PADGETTS ORDINARY, VA",US,US,0
S1-203073147,S2-592710212,S2,Jumbo & Co,M/s VIJAY TRADING PRIVATE LIMITED,"C/O Sakir Alam, Kadamgachi, Alipur, Katihar, Bihar","DOOR NO 234 , RAHEJA MALL SEC 47, SOHNA ROAD, NEAR PETROL PUMP, GURGAON, हरियाणा",India,India,0
S1-447876663,S3-367983904,S3,Pinnacle Desert Eqv,Solkelovantage,"NY, Granville, 2 Williams Street","962 Wall Saint, Houston, Texas",US,US,0
S1-984986814,S2-932101697,S2,Bangalore Products LLP,PFRUNNING.COM,"598, 4Th Cross, 5Th Main Road, Iti Layout Hsr Layout 7Th Sector, Mangammanapalaya, Bangalore, Karnataka","KHEWAT NO. 192/201 KILLA NO. 18/2, BHORAKALAN, GURGAON, हरियाणा",India,India,0
S1-82107237,S3-191367897,S3,A Cure 7 IT L.L.C.,CZB Shreya | www.czbshreya.com,"AZ, 871 Toledo Street, Gilbert","1455- Southwind Dr, Mason, Ohio",US,US,0
S1-631123612,S3-543348082,S3,Engineering & Brothers Private Limited,Engineering & Brothers Pgvaadte Limited,"93 Nirmal Nagar, At Sarthana Kamrej, Surat City, Surat, Gujarat","93 Nirmal Nagar, At Sarthana Kamrej, Surat, GJ",India,India,1
S1-583506779,S2-872246614,S2,Good It Private Limited,Central Petroleum (India) Private,"13-6-600/44/40, Pk Layout, Pk Layout, Tirupati(Urban), Tirupati, Chittoor, Andhra Pradesh","NO. 496 G - 002, JAY SHREE GANESHKRIPA CHS LTD B- BUILDING SOMAN NAGAR, GODDEV PHATAK RO, AD, BHAYANDER EAST, Maharashtra",India,India,0
S1-124888373,S3-553203620,S3,Galaxy Consultants Private Limited,Galaxy Consultants-Private,"Plot No. 1 To 5, Shiv Eco Industries-2 Block No. 254, Moje-Parab, Tal. Kamrej, Surat, Gujarat","#001 To 5, Shiv Eco Industries-2 Block No. 254, Moje-parab, Tal. Kamrej, Surat, Antroli, GJ",India,India,1
S1-862663852,S2-440471438,S2,Sterling Biomedical Solutions LLC,Midwest Clear Regions Inc,"MO, 809 Daffodil Court, Ofallon","3201 CLEVELAND AVENUE, GROVES, TX",US,US,0
S1-277143348,S3-619823189,S3,Mumbai Jewellery Limited,గుడ్ శక్తి ఐటీ ప్రైవేట్ లిమిటెడ్,"Maharashtra, 4, Mumbai, Floor-Grd, Plot-20/28, 24, Abubakar Manzi L N Jadhav Road, Umerkhadi, Chinchbunder, Mumbai City","202/948, Nellore, AP",India,India,0
S1-463497222,S3-916968014,S3,Upper Leapfrog,Martin Star Corporation,"5014 Alta Vista Road, Bethesda, MD","134 Halesworth Drive, Potomac, Maryland",US,US,0
S1-580575843,S2-85498482,S2,"Advanced Robotics Advisors, LLC","LLC Advanced Robotics Advisors,","63 Meadowlark Lane, Beecher, IL","MEADOWLARK LANE, BEECHER, IL",US,US,1
S1-549983077,S3-121616407,S3,Shresth & Co,Yamuendrayn Corp Service,"North West, Delhi, Narela, U-38 Vijay Nagar","No 5-68 Vill-beklunda, Tola-belkunda Panch-kishunpur, Block-jalalpur, Saran, BR",India,India,0
S1-257736587,S3-555255126,S3,Projects Shree Soft Private Limited,Limited Rajhans and Somn Ventures,"H No. 124, Basava Krupa, Near Government Primary School, Ganesh Nagar, Haliyal Road, Dharwad, Dharwad, Dharwar, Karnataka","H.no 572 59, Bayana Mdg, Bharatpur, RJ",India,India,0
S1-409741168,S3-854928375,S3,Pleasant States LLC,Select Planet Inc Service,"216 21st Avenue, Belton, TX","2148 Fifth Street, Montgomery, Alabama",US,US,0
S1-197128812,S3-520029020,S3,Facilities Educational Society,अल वन इंफ्रा स्वीट्स,"328/3, Prem Nagar, Gurugram, Gurgaon, Haryana","H.no 8/158 &154F/F, East Delhi, दिल्ली",India,India,0
S1-215767466,S2-777475060,S2,Atlantic Infrastructure Solutions LLC,guaranty national value,"7104 Flowerdale Avenue, Cleveland, OH","MA, 343 A UNION STREET, ROCKLAND",US,US,0
S1-126635693,S2-255586681,S2,Faith Institute,प्राइम आईटी प्रा. लि.,"4Th Floor, Zenia Bldg, Hiranandani Estate, Ghodbander Road, Thane, Thane, Maharashtra","Uttar Pradesh, GHAZIABAD, 5-906B",India,India,0
S1-231599094,S3-12583044,S3,Browning & Reyes Safeguard Inc,Browning & Reyes Inc Partners,"6035 235th Avenue, Village Of Paddock Lake, WI","6035- 235th Avenue, PO Box 8748, Village Of Paddock Lake, Wisconsin",US,US,1
S1-13697430,S2-333451248,S2,Shiva Developers Pvt Ltd,Ss Limited Service,"517 Vyaparbhuvan 49 Pdemello Road Carnac Bunder, Mumbai, Maharashtra","H.NO 651 494/1802, C/O OM PRAKASH, AT-PARANGA, ANGUL, ଓଡ଼ିଶା",India,India,0
S1-520760858,S3-451192506,S3,Tsai Learning Center,Jacobson House Inc.,"Frisco, TX, 3818 Ladera Heights Boulevard","1 Gold St, Hartofrd CDP, Connecticut",US,US,0
S1-86152380,S2-452633295,S2,Chennai City Corporation Shipping Private Limited,Chennai City Corporation Shipping Private,"49, Arya Gowda Road, Chennai City Corporation, Chennai, Tamil Nadu","PLOT 547 49, ARYA GOWDA ROAD, CHENNAI CITY CORPORATION, Tamil Nadu",India,India,1
S1-497456467,S3-894083087,S3,Good Services Private Limited,Services Good Private Limited,"Shop No 14, Guru Mauli Apts., D.N.Nagar, Nr.Versova Police Station, D.N. Nagar Link Road, And, Heri (W), Mumbai, Mumbai City, Maharashtra","H.no 14, Guru Mauli Apts., D.n.nagar, Nr.versova Police Station, D.n. Nagar Link Road, And, Heri (W), Mumbai Metro, Mumbai, MH",India,India,1
S1-103758556,S2-681645726,S2,Shravana Emporium Pvt Ltd,Aman Mercantile,"Uttar Pradesh, Sihani Road, Vishvas Nagar, Ghaziabad, C/O Rajesh Kumar, Ghaziabad","#417, FLOOR 4TH, PLOT 221, MAKER CHAMBER V, MUMBAI, महाराष्ट्र",India,India,0
S1-733694629,S2-583483024,S2,Sapphire's Tax Service,Sapphire's Service Tax,"4825 Belvidere Drive, Fort Wayne, IN","4825D BELVIDERE DRIVE, SAINT JOSEPH, IN",US,US,1
S1-189652547,S2-8608212,S2,Dev Liquor LLP,anjanidham cement,"4Th 5Th Floor, H. No. 1/573, Gajanand Chambers, Por Mohallo, Opp. S.B.I., Timiliyawad, Surat, Gujarat","NO 85 SAURABH JAIN, H-3, KASTURBA APPARTMENTS, PITAMPURA, NEW DELHI, Delhi",India,India,0
